,pvalue,FoldChange,log(pvalue),log2FC,sig,size
NCKAP1,0.6550739449846419,1.0272220124275075,0.1837096739223972,-0.03874802353832936,normal,0.10272220124275075
PRPF19,0.7459080346208554,1.0302294425520035,0.12731471477767423,-0.0429656760191126,normal,0.10302294425520035
DLG2,0.44666888128049775,1.0113615549166344,0.35001430308877557,-0.0162988431731513,normal,0.10113615549166344
EIF3H,0.7255835482058742,1.0556247015353604,0.13931257297718827,-0.07809701512279714,normal,0.10556247015353604
GNB5,0.7215436937503232,1.0308208217597783,0.1417373646673766,-0.04379358389552753,normal,0.10308208217597783
SLC7A14,0.8488408466303194,0.9633994127386185,0.07117373014426358,0.053794050388817315,normal,0.09633994127386185
RABEP1,0.6386230518760704,1.0164521160865347,0.1947554091259074,-0.02354225304624206,normal,0.10164521160865347
SCARB2,0.6515198354395458,1.0099347441860531,0.1860723577091754,-0.014262077847745618,normal,0.10099347441860532
PSPC1,0.5969227928794736,1.009825888745401,0.22408183770609494,-0.014106569118647681,normal,0.1009825888745401
STUB1,0.8949544922789303,0.9862114233810056,0.04819904765014562,0.02003113107725014,normal,0.09862114233810057
CKB,0.2601142566095284,1.0142045980493068,0.5848358438934435,-0.020348720207282033,normal,0.10142045980493068
RHOG,0.7566688210101439,1.0405263475092146,0.12109416102677889,-0.0573134964904795,normal,0.10405263475092145
DDX5,0.5944255727451944,1.026762933485254,0.22590251508997078,-0.038103120151172225,normal,0.10267629334852539
SYNJ1,0.6034989157202275,1.0093968371151634,0.21932350584359148,-0.013493471157122867,normal,0.10093968371151633
RPS5,0.7310444357514714,1.015894948290806,0.13605622411581791,-0.022751223551262384,normal,0.1015894948290806
RPS15,0.9479614795538545,0.9947072118427526,0.023209309874057168,0.007656158359593439,normal,0.09947072118427526
RALY,0.7467552203251229,1.0572267411115521,0.12682173270043925,-0.0802848215612038,normal,0.10572267411115521
PPP2R1A,0.44280259566943037,1.014415334895561,0.35378984199022895,-0.020648459945790464,normal,0.10144153348955609
ATP6V0A1,0.9059632731998419,0.9893508826429098,0.04288940780877785,0.01544581771391055,normal,0.09893508826429098
C19orf52,0.6825286814103229,1.0303637321596029,0.16587909386007924,-0.04315371794177679,normal,0.10303637321596029
PRDX1,0.5684643463436515,1.0195990983665248,0.24529676874542836,-0.028002002695272542,normal,0.10195990983665248
TRIM28,0.08671346332434197,1.0128787601309601,1.0619134677656175,-0.01846149632488679,normal,0.10128787601309601
NRXN3,0.9299949140627786,0.9932561581932192,0.031519426500377,0.00976226182968768,normal,0.09932561581932192
ATP5I,0.6300715877356476,1.02159214179829,0.20061010389199044,-0.03081933282336072,normal,0.10215921417982901
TAGLN3,0.9330259144188859,0.9937237501183297,0.03010629373171228,0.009083248860157796,normal,0.09937237501183296
GSTP1,0.8554841086890439,1.0067563169485116,0.0677880534200856,-0.00971452458235079,normal,0.10067563169485116
